iter	RMSE
349	49.01035396
350	49.00738597
351	49.00383565
352	49.00313355
353	49.00137402
354	49.00082696
355	48.99969309
356	48.99908395
357	48.99856561
358	48.99758056
359	48.99488292
360	48.99151358
361	48.99064236
362	48.98974357
363	48.98806007
364	48.98795356
365	48.9860683
366	48.98434078
367	48.98381014
368	48.98222388
369	48.9786385
370	48.97430725
371	48.97342775
372	48.97290926
373	48.97112554
374	48.97059399
375	48.96984096
376	48.96858744
377	48.96817983
378	48.96714516
379	48.96605358
380	48.96326762
381	48.9614734
382	48.96092929
383	48.9607132
384	48.95876337
385	48.95747325
386	48.9522385
387	48.95160287
388	48.94951506
389	48.94616875
390	48.94396789
391	48.94350195
392	48.94313284
393	48.94294094
394	48.93991991
395	48.9397194
396	48.93898312
397	48.93854457
398	48.93830631
399	48.93487773
400	48.93391993
401	48.93335276
402	48.93050498
403	48.93016469
404	48.92982149
405	48.9287709
406	48.92705901
407	48.92250147
408	48.92237967
409	48.92196165
410	48.91695941
411	48.91515046
412	48.91057292
413	48.9101219
414	48.90984782
415	48.90965497
416	48.90758839
417	48.90579718
418	48.90569727
419	48.90254708
420	48.90119599
421	48.89977224
422	48.89798073
423	48.89445484
424	48.89380906
425	48.89037475
426	48.88914694
427	48.88505205
428	48.88221945
429	48.88132818
430	48.87882688
431	48.87550979
432	48.87455176
433	48.87265761
434	48.87182494
435	48.87163354
436	48.86951645
437	48.86798129
438	48.86551407
439	48.86492751
440	48.86466196
441	48.86343078
442	48.8606112
443	48.86000152
444	48.85972478
445	48.8593382
446	48.8561359
447	48.85565557
448	48.85460734
449	48.85208494
450	48.85026219
451	48.84922692
452	48.84889009
453	48.84748545
454	48.84660964
455	48.84589677
456	48.84252379
457	48.8410433
458	48.84044242
459	48.83886384
460	48.83682353
461	48.83389499
462	48.83084177
463	48.83009765
464	48.8291925
465	48.82900455
466	48.82823713
467	48.82723615
468	48.82546903
469	48.82394375
470	48.82381143
471	48.82314809
472	48.82061599
473	48.81883403
474	48.81862601
475	48.81352533
476	48.81332225
477	48.81243784
478	48.81083505
479	48.81031104
480	48.81017756
481	48.80911601
482	48.8062597
483	48.80404503
484	48.80286692
485	48.80185286
486	48.8009394
487	48.80067027
488	48.80038633
489	48.79973745
490	48.7993014
491	48.79913445
492	48.7977283
493	48.79443271
494	48.79337005
495	48.79227689
496	48.79188297
497	48.7917981
498	48.79149048
499	48.78967059
500	48.78761094
501	48.78648427
502	48.78419548
503	48.7837841
504	48.78084095
505	48.78014277
506	48.77910677
507	48.77887633
508	48.77645521
509	48.77602295
510	48.77427133
511	48.77200301
512	48.77135222
513	48.76998181
514	48.76946306
515	48.76841624
516	48.7658943
517	48.76396055
518	48.76241879
519	48.7612628
520	48.75902906
521	48.75857789
522	48.75853159
523	48.7581281
524	48.75737654
525	48.75640261
526	48.75505375
527	48.75441015
528	48.75338601
529	48.75294787
530	48.75252197
531	48.75070844
532	48.75027863
533	48.74930653
534	48.74842194
