iter	Passed	Remaining
384	404663	646410
385	406140	646036
386	407574	645589
387	408929	645012
388	409751	643594
389	410865	642635
390	412089	641848
391	412971	640526
392	413654	638901
393	414393	637366
394	415904	637018
395	416860	635818
396	418021	634928
397	419039	633823
398	420075	632744
399	421407	632111
400	422216	630691
401	423371	629791
402	424543	628913
403	425982	628430
404	426997	627317
405	427949	626113
406	428864	624855
407	429882	623750
408	430968	622744
409	432023	621691
410	433027	620566
411	433732	619015
412	434978	618238
413	436726	618169
414	437738	617053
415	438840	616065
416	439758	614818
417	440703	613611
418	441637	612389
419	443048	611829
420	444303	611049
421	445298	609910
422	445966	608327
423	447177	607486
424	448537	606844
425	449680	605907
426	451105	605347
427	451631	603582
428	452801	602679
429	453975	601781
430	454833	600465
431	456184	599797
432	456977	598398
433	458559	598029
434	459465	596776
435	460283	595412
436	461309	594318
437	462176	593021
438	463144	591854
439	464094	590665
440	464978	589394
441	465966	588255
442	467037	587223
443	467947	585988
444	468809	584694
445	469657	583386
446	470701	582322
447	471579	581053
448	472546	579895
449	473604	578849
450	474673	577817
451	476365	577540
452	477135	576143
453	478187	575089
454	479090	573855
455	479923	572540
456	481264	571830
457	482341	570806
458	483144	569457
459	484204	568414
460	484968	567024
461	485802	565718
462	486816	564622
463	488120	563863
464	489339	563003
465	490252	561791
466	491042	560440
467	492272	559591
468	493163	558358
469	494260	557357
470	495011	555968
471	495849	554679
472	496969	553706
473	498309	552976
474	499218	551768
475	500082	550510
476	500907	549212
477	501891	548090
478	503058	547168
479	504015	546017
480	504815	544696
481	505752	543526
482	507064	542758
483	507566	541124
484	508870	540346
485	509935	539314
486	511174	538465
487	511947	537125
488	513601	536708
489	514656	535663
490	515670	534575
491	516895	533704
492	518186	532901
493	519358	531974
494	520243	530753
495	521261	529668
496	522925	529238
497	523760	527967
498	524872	526976
499	525946	525946
500	527104	525000
501	527906	523700
502	529513	523197
503	530628	522205
504	531940	521406
505	532846	520209
506	533754	519015
507	534845	517999
508	535955	517001
509	536883	515829
510	537937	514777
511	539161	513888
512	540225	512845
513	541655	512148
514	542842	511220
515	544135	510390
516	545233	509376
517	545966	508023
518	546678	506652
519	547585	505463
520	549249	504972
521	550452	504054
522	551552	503040
523	552331	501735
524	553314	500617
525	554254	499460
526	555332	498429
527	556127	497144
528	557433	496316
529	558475	495251
530	559346	494036
531	560455	493032
532	561497	491968
533	562666	491016
534	563863	490087
535	564958	489068
536	566048	488045
537	567094	486984
538	567917	485732
539	568935	484648
540	569821	483452
541	571011	482515
542	572161	481542
543	573364	480614
544	574378	479527
545	576338	479226
546	577371	478152
547	578293	476986
548	579171	475785
549	580433	474899
550	581189	473600
551	582314	472602
552	583288	471483
553	584648	470673
554	585243	469249
555	586056	468002
556	587110	466947
557	588117	465856
558	589247	464862
559	590220	463744
560	591350	462749
561	592204	461539
562	593419	460611
563	594475	459559
564	595577	458541
565	597109	457853
566	598281	456888
567	599616	456046
568	600577	454919
569	601718	453927
570	602450	452628
571	603584	451632
572	604661	450594
573	605812	449610
574	606645	448389
575	607755	447375
576	608756	446281
577	609547	445032
578	610629	443998
579	612153	443283
580	612927	442024
581	613646	440729
582	614778	439730
583	615874	438704
584	616632	437440
585	617446	436216
586	618539	435190
587	619831	434303
588	620615	433060
589	621580	431946
590	622679	430923
591	623602	429780
592	624462	428594
593	625375	427445
594	626650	426543
595	627425	425302
596	628477	424248
597	629242	423002
598	630697	422219
599	632034	421356
600	633219	420390
601	634049	419188
602	635289	418258
603	636721	417452
604	637855	416451
605	638600	415195
606	639728	414190
607	640540	412979
608	641398	411801
609	642350	410683
610	643614	409764
611	644829	408813
612	645729	407662
613	647046	406775
614	648850	406190
615	650052	405227
616	651209	404235
617	652061	403054
618	653413	402181
619	654753	401300
620	656426	400620
621	657320	399464
622	657809	398064
623	658655	396882
624	659635	395781
625	660751	394761
626	662373	394043
627	663623	393101
628	664844	392141
629	665863	391062
630	667296	390225
631	668156	389052
632	669975	388437
633	670888	387295
634	671955	386242
635	673514	385470
636	674610	384432
637	675516	383286
638	676736	382318
639	677993	381371
640	679162	380373
641	680139	379268
642	681394	378317
643	682703	377394
644	683758	376332
645	684592	375148
646	685654	374089
647	686763	373056
648	688062	372126
649	689100	371054
650	690321	370080
651	691468	369066
652	692839	368170
653	693992	367157
654	695328	366241
655	696207	365084
656	697100	363935
657	698207	362898
658	698928	361661
659	699810	360508
660	700921	359474
661	701779	358310
662	702838	357249
663	704143	356313
664	705286	355294
665	706097	354108
666	707021	352980
667	708221	351990
668	709295	350937
669	710673	350033
670	711548	348881
671	712509	347772
672	714762	347291
673	716021	346324
674	716999	345221
675	718271	344260
676	719310	343186
677	720600	342231
678	721565	341123
679	722492	339996
680	723754	339027
681	725046	338071
682	726224	337061
683	727541	336115
684	728478	334993
685	729555	333936
686	730551	332842
687	731299	331635
688	732162	330482
689	733424	329509
690	734746	328562
691	735893	327536
692	736812	326408
693	738001	325401
694	739080	324344
695	740158	323287
696	741569	322375
697	743050	321491
698	744344	320525
699	745250	319393
700	746350	318343
701	747476	317304
702	748288	316133
703	749617	315180
704	750570	314068
705	751490	312943
706	752470	311844
707	753165	310627
708	753963	309454
709	754880	308331
710	755503	307089
711	756336	305934
712	757533	304925
713	759034	304039
714	760462	303121
715	761531	302060
716	762894	301114
717	764348	300203
718	765482	299166
719	766439	298059
720	767199	296877
721	768395	295864
722	769542	294831
723	770984	293911
724	772521	293025
725	773320	291859
726	774538	290851
727	775981	289927
728	777011	288847
729	778425	287910
730	779310	286777
731	780174	285637
732	780919	284454
733	781874	283349
734	782780	282226
735	783935	281194
736	785111	280168
737	786029	279050
738	786943	277932
739	787903	276830
740	788664	275659
741	790049	274707
742	790988	273598
743	791910	272485
744	792810	271364
745	793899	270308
746	795109	269294
747	796401	268306
748	797316	267191
749	798897	266299
750	800181	265306
751	801209	264228
752	802431	263214
753	803763	262235
754	804931	261202
755	805961	260125
756	807138	259094
757	808068	257984
758	809157	256926
759	810645	255993
760	811359	254816
761	812490	253770
762	813379	252648
763	814574	251622
764	815773	250596
765	817011	249583
766	818214	248557
767	819265	247486
768	820190	246377
769	821087	245259
770	822123	244184
771	823103	243092
772	824555	242139
773	825724	241102
774	826583	239975
775	828025	239017
776	829117	237957
777	830084	236862
778	831120	235786
779	832098	234694
780	832934	233562
781	834207	232554
782	835017	231416
783	836226	230389
784	837437	229361
785	838483	228289
786	839758	227279
787	840617	226156
788	841421	225018
789	842736	224018
790	843644	222909
791	844489	221785
792	845910	220811
793	847109	219779
794	848169	218710
795	849551	217724
796	850444	216612
797	851887	215640
798	852972	214577
799	854054	213513
800	855449	212527
801	856712	211507
802	857507	210372
803	858890	209381
804	859743	208260
805	860898	207213
806	862137	206186
807	863059	205083
808	864041	203995
809	865237	202956
810	865960	201808
811	866763	200679
812	868022	199655
813	869189	198610
814	869923	197467
815	870816	196360
816	871984	195315
817	873171	194275
818	874243	193208
819	875606	192206
820	876534	191108
821	877637	190047
822	879286	189105
823	880354	188036
824	881231	186927
825	882447	185890
826	883773	184876
827	884839	183807
828	885993	182756
829	887409	181758
830	888133	180619
831	889241	179558
832	890882	178604
833	892156	177575
834	893295	176519
835	894544	175484
836	895349	174363
837	896030	173218
838	897248	172177
839	898214	171088
840	899359	170033
841	900778	169029
842	901829	167956
843	902837	166875
844	905039	166013
845	906201	164958
846	907190	163872
847	908007	162756
848	909740	161803
849	910535	160682
850	911565	159604
851	912957	158588
852	914048	157520
853	915303	156480
854	916655	155456
855	917633	154368
856	918676	153291
857	919697	152211
858	920717	151130
859	921724	150048
860	922773	148972
861	924085	147939
862	925880	146982
863	927351	145971
864	928434	144900
865	929643	143847
866	930857	142795
867	932018	141735
868	933230	140682
869	934095	139577
870	935369	138533
871	936414	137455
872	937242	136345
873	938274	135266
874	939750	134250
875	940930	133191
876	941865	132097
877	942651	130983
878	943773	129916
879	944850	128843
880	946024	127783
881	947456	126757
882	948856	125726
883	949947	124653
884	950937	123568
885	952022	122494
886	953096	121420
887	954326	120365
888	955874	119349
889	956960	118276
890	958154	117215
891	959470	116169
892	961068	115155
893	962525	114124
894	963604	113048
895	964692	111973
896	965761	110895
897	966450	109774
898	967846	108734
899	969243	107693
900	970288	106613
901	971642	105566
902	972468	104462
903	973926	103425
904	974855	102332
905	975747	101236
906	976704	100147
907	977896	99082
908	979039	98011
909	980349	96957
910	981291	95867
911	982246	94778
912	983203	93689
913	984031	92589
914	985259	91526
915	986526	90467
916	988015	89427
917	989174	88357
918	990279	87282
919	991225	86193
920	992246	85111
921	993304	84032
922	994276	82946
923	995331	81867
924	996313	80782
925	997774	79735
926	998618	78639
927	999786	77569
928	1000967	76500
929	1002073	75424
930	1003328	74360
931	1004247	73271
932	1005186	72183
933	1006128	71096
934	1007662	70051
935	1008513	68958
936	1009537	67877
937	1010796	66811
938	1011980	65740
939	1013130	64667
940	1014257	63593
941	1015296	62512
942	1016576	61447
943	1017832	60379
944	1018653	59286
945	1019829	58214
946	1021233	57154
947	1022209	56070
948	1023326	54994
949	1024013	53895
950	1024844	52804
951	1025723	51717
952	1026715	50635
953	1027777	49557
954	1028889	48481
955	1030147	47412
956	1031213	46334
957	1032254	45255
958	1033366	44179
959	1034701	43112
960	1035544	42025
961	1036457	40941
962	1037871	39876
963	1038971	38799
964	1040075	37722
965	1041573	36659
966	1042610	35580
967	1043677	34501
968	1044812	33425
969	1045771	32343
970	1046644	31259
971	1047547	30176
972	1048490	29094
973	1049970	28027
974	1051244	26954
975	1052462	25880
976	1053296	24796
977	1054483	23720
978	1055711	22645
979	1056622	21563
980	1057590	20483
981	1058636	19404
982	1059503	18323
983	1060908	17250
984	1062410	16178
985	1063577	15101
986	1065007	14027
987	1066080	12948
988	1067274	11870
989	1068452	10792
990	1069296	9711
991	1070687	8634
992	1071742	7555
993	1073016	6476
994	1074477	5399
995	1075296	4318
996	1076331	3238
997	1077605	2159
998	1078471	1079
999	1079516	0
